path_key,factor_key,method,beta_neutral,rebalance_days,average_estimated_beta,maximum_absolute_estimated_beta,regression_beta,average_gross_exposure,average_net_exposure,annualized_turnover,unpriced_weight_days,maximum_unpriced_weight,average_maximum_sector_exposure,maximum_sector_exposure,average_unknown_sector_weight,average_holding_count,minimum_holding_count,maximum_position_weight
low_volatility|60d|continuous_high_minus_low|beta_neutral|r1|ensemble,low_volatility|60d,continuous_high_minus_low,True,1,-6.572972429237461e-18,4.85722573273506e-16,-0.017090028706648115,2.0,0.5718025078928263,28.11572357719679,0,0.0,,,,418.943793350873,335.0,0.017699558058300778
low_volatility|60d|continuous_high_minus_low|beta_neutral|r5|ensemble,low_volatility|60d,continuous_high_minus_low,True,5,-0.0008872995181293875,0.1651976189710266,-0.009368370792036416,2.000750716650204,0.5718572516503622,15.611553139165675,18,0.013108993553917885,,,,418.6382045762577,111.66666666666667,0.018052290382989174
low_volatility|60d|continuous_high_minus_low|beta_neutral|r21|ensemble,low_volatility|60d,continuous_high_minus_low,True,21,-0.003056148083227828,0.3163133328800305,0.020050902146754472,2.0008550736844595,0.5727003988250383,8.808519904205161,27,0.019388617070387693,,,,417.4510085306546,111.66666666666667,0.01782471704210904
low_volatility|60d|continuous_high_minus_low|beta_neutral|r63|ensemble,low_volatility|60d,continuous_high_minus_low,True,63,-0.011872870776903908,0.41989728360390016,0.05583874182301793,2.0093765717059675,0.5714677145444322,5.417931312459112,45,0.019535992082962104,,,,414.5202902017062,111.66666666666667,0.018785873806297707
low_volatility|60d|long_q1|unconstrained_beta|r1|ensemble,low_volatility|60d,long_q1,False,1,1.4283940874876269,1.8249710312690393,1.5157850339561822,1.0,1.0,20.10143863484354,0,0.0,,,,41.569002630949534,33.0,0.030303030303030304
low_volatility|60d|long_q1|unconstrained_beta|r5|ensemble,low_volatility|60d,long_q1,False,5,1.4274924126597766,1.8106818320566187,1.5037541511851573,0.9988175136692978,0.9988175136692978,11.107419458445646,0,0.0,,,,41.5153472056127,11.0,0.040491016206161266
low_volatility|60d|long_q1|unconstrained_beta|r21|ensemble,low_volatility|60d,long_q1,False,21,1.423942298210776,1.787813923566645,1.47230339078179,0.9942700239977476,0.9942700239977476,6.428769721337992,0,0.0,,,,41.301443035956304,11.0,0.04681340771132975
low_volatility|60d|long_q1|unconstrained_beta|r63|ensemble,low_volatility|60d,long_q1,False,63,1.4136868330038614,1.8022310571145665,1.4043663261306447,0.9843587351859936,0.9843587351859936,4.078314044008642,0,0.0,,,,40.82619787929523,11.0,0.05376146824726994
low_volatility|60d|long_q10|unconstrained_beta|r1|ensemble,low_volatility|60d,long_q10,False,1,0.5834354217590574,0.8779937295993061,0.5569235192068882,1.0,1.0,25.868389898124732,0,0.0,,,,42.455632623774214,34.0,0.029411764705882353
low_volatility|60d|long_q10|unconstrained_beta|r5|ensemble,low_volatility|60d,long_q10,False,5,0.5827064951217282,0.8567715163612787,0.5605214077128298,0.9994435326926562,0.9994435326926562,13.849508430436606,2,0.015426573378443144,,,,42.42908395120784,11.333333333333334,0.03418898249778634
low_volatility|60d|long_q10|unconstrained_beta|r21|ensemble,low_volatility|60d,long_q10,False,21,0.5791771670426714,0.8297621733393227,0.5739415646384748,0.9972544280384071,0.9972544280384071,7.31022286777352,2,0.022767188718361076,,,,42.32097584309974,11.333333333333334,0.034211004410710504
low_volatility|60d|long_q10|unconstrained_beta|r63|ensemble,low_volatility|60d,long_q10,False,63,0.5757375146570098,0.8154224812907344,0.5911603215389969,0.9915494293129732,0.9915494293129732,4.20470194385983,2,0.022950458219485284,,,,42.05532966594913,11.333333333333334,0.034348743158373184
low_volatility|60d|middle_minus_q1|unconstrained_beta|r1|ensemble,low_volatility|60d,middle_minus_q1,False,1,-0.43493643818330946,0.8928823654154512,-0.5321799396693844,2.0,2.2327148302081305e-17,44.89480919294704,0,0.0,,,,209.6094235828749,167.0,0.030303030303030304
low_volatility|60d|middle_minus_q1|unconstrained_beta|r5|ensemble,low_volatility|60d,middle_minus_q1,False,5,-0.4373147950965109,1.1147822099989264,-0.5211961506011149,2.0037929083998405,-0.00027459539968795557,24.31789945935838,16,0.006447779930621418,,,,209.44646416327834,55.666666666666664,0.04771978569341586
low_volatility|60d|middle_minus_q1|unconstrained_beta|r21|ensemble,low_volatility|60d,middle_minus_q1,False,21,-0.442376577394951,1.1544359517923668,-0.4746458538777074,2.0105930323901227,0.0005792072282379486,13.599847136408242,27,0.006211979509200201,,,,208.8072231523559,55.666666666666664,0.05413450537563571
low_volatility|60d|middle_minus_q1|unconstrained_beta|r63|ensemble,low_volatility|60d,middle_minus_q1,False,63,-0.46753430686490144,2.38383577171744,-0.43244847193343794,2.051014901098713,-0.004154271752376822,8.29648741581791,43,0.00645882284612643,,,,207.24722953041538,55.666666666666664,0.10315000610677579
low_volatility|60d|middle_minus_q1|beta_neutral|r1|ensemble,low_volatility|60d,middle_minus_q1,True,1,2.936810916965519e-18,7.771561172376096e-16,-0.02866540648798025,2.0,0.35758497690316404,43.76322939942801,0,0.0,,,,209.2843817268596,167.0,0.0266095170574345
low_volatility|60d|middle_minus_q1|beta_neutral|r5|ensemble,low_volatility|60d,middle_minus_q1,True,5,-0.0008080121933847916,0.26739783640756937,-0.023035244749214194,2.0017307296871865,0.35794987682879326,23.76945103267914,16,0.00727768306138539,,,,209.1223790161843,55.666666666666664,0.035970876406012306
low_volatility|60d|middle_minus_q1|beta_neutral|r21|ensemble,low_volatility|60d,middle_minus_q1,True,21,-0.0018379289694897172,0.29057259721385065,-0.005298396406379458,2.0026774895503383,0.35988119520658873,13.288178415578148,27,0.006888932371037152,,,,208.4943793350873,55.666666666666664,0.040827801068751925
