walk_key,path_key,factor_key,family,variant,selection_horizon,selection_evidence,selection_pattern,method,portfolio_type,beta_neutral,rebalance_days,calendar_offset,phase_count,successful_rebalances,skipped_rebalances,beta_neutral_attempts,beta_neutral_success_rate,walk_forward_scheme,complete_oos_periods,positive_oos_period_rate,median_oos_annualized_return,worst_oos_annualized_return,best_oos_annualized_return,median_oos_sharpe,stitched_oos_annualized_return,stitched_oos_sharpe,orientation_positive_rate,orientation_changes,post_selection_oos_warning,regime_variable,regime_state,observations,mean_daily_return,annualized_return_approx,sharpe,positive_day_rate
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,dispersion_state,high_dispersion,1978,0.0001253693101944866,0.03159306616901062,0.1522701200221627,0.5040444893832153
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,dispersion_state,low_dispersion,1792,-0.00014367115718420586,-0.036205131610419876,-0.30559715059314607,0.51171875
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,correlation_state,high_correlation,1145,-0.0002787772828199211,-0.07025187527062011,-0.30202797932366565,0.48034934497816595
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r21|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,21,ensemble,3,199.33333333333334,0.0,0.0,,short,30,0.4666666666666667,-0.027553013703695284,-0.3084500161595213,0.4779693126112039,0.019459103718913087,-0.015142803410789551,-0.003704134083953964,0.4,8,True,correlation_state,low_correlation,2625,0.0001179892459883456,0.02973328998906309,0.21907293591088792,0.5196190476190476
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,risk_free_state,above_2pct,1260,0.00013676177047118251,0.034463966158737994,0.20560434840310426,0.5126984126984127
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,risk_free_state,at_or_below_2pct,2510,-2.1204923840601484e-05,-0.005343640807831574,-0.03083171630170162,0.5127490039840638
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,volatility_state,high_volatility,1301,-7.584082850132669e-05,-0.019111888782334326,-0.0839558039310638,0.4811683320522675
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,volatility_state,low_volatility,2469,8.819942885135936e-05,0.022226256070542558,0.167658806503044,0.5293641150263264
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,dispersion_state,high_dispersion,1978,0.00019013859930747156,0.047914927025482834,0.23154801278546652,0.5096056622851365
short|low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d|continuous_high_minus_low|unconstrained_beta|r63|ensemble,low_volatility|120d,low_volatility,120d,63,low_volatility_family_sensitivity,lower_tail,continuous_high_minus_low,market_neutral,False,63,ensemble,3,66.33333333333333,0.0,0.0,,short,30,0.5,-6.859319066743197e-05,-0.31509571371081413,0.44413784168652004,0.08907842174958433,-0.006680678206891888,0.04644107301360465,0.4,8,True,dispersion_state,low_dispersion,1792,-0.00014341444055602595,-0.03614043902011854,-0.29959335684203137,0.5161830357142857
