path_key,phase_count,phase_annual_return_mean,phase_annual_return_min,phase_annual_return_max,phase_annual_return_std,phase_sharpe_mean,phase_sharpe_min,phase_sharpe_max,phase_sharpe_std
low_volatility|180d|continuous_high_minus_low|beta_neutral|r21|ensemble,3,0.03635887859673045,0.033842669204836584,0.03893831558390737,0.0020807692971171756,0.34544729605018837,0.32725148468466003,0.368500284102949,0.017186428509937787
low_volatility|180d|continuous_high_minus_low|beta_neutral|r63|ensemble,3,0.036920809112504616,0.03349624477709301,0.043493639511183346,0.004649061537639893,0.34146996173419497,0.31326101119877203,0.3949651150484672,0.03784560022600825
low_volatility|180d|long_q1|unconstrained_beta|r1|ensemble,1,0.16182154672139992,0.16182154672139992,0.16182154672139992,0.0,0.6366815811565663,0.6366815811565663,0.6366815811565663,0.0
low_volatility|180d|long_q1|unconstrained_beta|r5|ensemble,3,0.16989391678242183,0.16522472809836652,0.1723113833457064,0.003302308286692671,0.661579449521981,0.6481360532449357,0.6683920430091751,0.009506206378314683
low_volatility|180d|long_q1|unconstrained_beta|r21|ensemble,3,0.17416790919285896,0.17125943262660703,0.1761483292532473,0.00210099884420886,0.6809911759015491,0.6749196132900562,0.6860056501871917,0.0045871654513907414
low_volatility|180d|long_q1|unconstrained_beta|r63|ensemble,3,0.17739728892126352,0.17093947322715475,0.18995350782456266,0.008879799892424513,0.7056873031319432,0.6849197322708509,0.7390948357323549,0.023854586328345945
low_volatility|180d|long_q10|unconstrained_beta|r1|ensemble,1,0.11082645962265691,0.11082645962265691,0.11082645962265691,0.0,0.864240980233091,0.864240980233091,0.864240980233091,0.0
low_volatility|180d|long_q10|unconstrained_beta|r5|ensemble,3,0.11406684303190517,0.11341389078658715,0.11492701095588731,0.00063486844558481,0.8811219640665587,0.8756910930106644,0.8906000465657923,0.006725779477877801
low_volatility|180d|long_q10|unconstrained_beta|r21|ensemble,3,0.11163382244797256,0.11094952778424316,0.11285655481200063,0.000866650405864081,0.8489402365784179,0.8473360683841568,0.850996367784825,0.0015281035848166322
low_volatility|180d|long_q10|unconstrained_beta|r63|ensemble,3,0.11331066089102852,0.11231100431513585,0.11424100920853153,0.0007894438752031156,0.8505955967261988,0.8360135326879164,0.8617184646455184,0.010775293037881323
low_volatility|180d|middle_minus_q1|unconstrained_beta|r1|ensemble,1,-0.10438877127819479,-0.10438877127819479,-0.10438877127819479,0.0,-0.49211132876117286,-0.49211132876117286,-0.49211132876117286,0.0
low_volatility|180d|middle_minus_q1|unconstrained_beta|r5|ensemble,3,-0.10068974771880179,-0.10806167950738066,-0.08746339706630812,0.009372938886538217,-0.46895079285286984,-0.510162893549313,-0.392326622578419,0.05423318598379737
low_volatility|180d|middle_minus_q1|unconstrained_beta|r21|ensemble,3,-0.09106426546932318,-0.09835535408427609,-0.08695533006163114,0.005169442987729653,-0.4198080058889162,-0.4719762706736517,-0.37558790272611353,0.03974971130942358
low_volatility|180d|middle_minus_q1|unconstrained_beta|r63|ensemble,3,-0.08622301510530613,-0.09760999393553293,-0.07652288339538693,0.00869101634403985,-0.3616648437379884,-0.4090608459857478,-0.32166302613819747,0.03606106121088142
low_volatility|180d|middle_minus_q1|beta_neutral|r1|ensemble,1,-0.018948168157168044,-0.018948168157168044,-0.018948168157168044,0.0,-0.07893500934711146,-0.07893500934711146,-0.07893500934711146,0.0
low_volatility|180d|middle_minus_q1|beta_neutral|r5|ensemble,3,-0.015036435463365971,-0.0214228315761128,-0.007277230834126569,0.005855934739227448,-0.049118461115234165,-0.09843807809003212,0.010751035671647606,0.045196169557845785
low_volatility|180d|middle_minus_q1|beta_neutral|r21|ensemble,3,-0.007820043483241354,-0.012904803341799664,-0.0026771724415589615,0.004175615015786511,0.0053544208923042595,-0.03540684580199529,0.04334889408703687,0.03221136446524381
low_volatility|180d|middle_minus_q1|beta_neutral|r63|ensemble,3,-0.004357647662660817,-0.009462440975191222,0.0015122419844062485,0.004512940343557317,0.03684503630749523,0.0010985175233623322,0.07546408087081222,0.030427485450493095
low_volatility|180d|q10_minus_middle|unconstrained_beta|r1|ensemble,1,-0.0465436269851055,-0.0465436269851055,-0.0465436269851055,0.0,-0.34213183229227534,-0.34213183229227534,-0.34213183229227534,0.0
low_volatility|180d|q10_minus_middle|unconstrained_beta|r5|ensemble,3,-0.03647986216136131,-0.03726410662279522,-0.03592068519852898,0.0005710731505913342,-0.2547868035919841,-0.26126289599919233,-0.2492437092951048,0.004950964644210711
